Province_EN,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
PHATTHALUNG,12711.667616,13736.98664,13697.348339,14120.003008,15015.442868999999,14187.328955,13429.363219,14103.777984,15218.085608,16154.816936,17523.720742,17574.717041,17862.858636,17381.504309,17549.285673,17464.476694,17629.876592,18545.714617999998,18175.556879,18412.632996,18556.145913,20046.104147000002,19312.672819999996,20352.589705000002
PATTANI,31173.616352,31364.370726,31072.022018,30040.818648,31414.444838,29718.495652999998,28887.575679,30355.75355,29399.574937,30578.009271,31241.462799,31651.530781,29999.428608,30917.142839,33067.795159,34505.338616,35304.136864,37170.073092,37214.23011700001,36147.220062,35647.862822,37329.906106,30499.040091,32533.461096
CHON BURI,237940.17283,263938.760287,263475.800635,232308.41100199998,242242.32336200002,255305.95794300002,259903.65130599999,282079.79129900003,306132.25556799996,341761.827347,385116.653493,430870.046416,473485.803763,491613.88721500005,458513.75877300004,481145.14736500004,487446.82801,473288.36228400003,498714.145632,513386.235253,536433.749702,570271.317884,582945.0146539999,608249.041339
CHACHOENGSAO,86292.198881,93080.76517700001,98971.764051,87340.898783,86802.057753,87926.769659,88054.288159,100059.752469,128751.372183,145996.606482,145107.466517,161306.051791,181865.77339699998,191293.618403,168520.46300599998,201673.621007,206112.98598,268047.301329,250586.233183,247917.75025800001,241144.998326,254704.660573,250805.509009,278981.55115200003
RAYONG,183475.866368,206100.343907,233407.755482,221463.85881900002,216877.096858,248162.07534100002,249810.551594,289675.29661,304283.132267,327925.49142900005,352294.443136,371229.74963599996,393589.588803,388456.09355,400749.107841,449113.147629,442018.36143199995,468826.610974,483593.925651,474891.036576,490602.13532299997,505225.35121,534444.472432,526915.291103
TRAT,17010.430978,17320.277452,18009.229906,15721.104721,16307.810691,17684.046506,17108.732331,18732.982366,18298.690765,20759.784467,19783.663456,22630.648352,22989.225734,24246.483664,22475.444844,25681.605641000002,26228.885632999998,25624.891528,24236.689569,24820.497011999996,24316.886598999998,23265.541764999998,27238.379123,25820.016779
CHANTHABURI,36687.183623,39322.639257,38843.169076,33778.097310000005,35556.153885,39938.166141999995,40289.47432,41501.274671,42310.246982000004,41287.944423,41268.52514699999,43006.567404,44158.914207,46792.557292000005,45013.927618,50403.730531,54308.217727,55615.393959999994,53859.724588000005,54024.298580999995,53349.047036,52704.298593,61423.22624,54795.103274
NAKHON NAYOK,7344.857762,8098.843588,8231.248434,8551.906472,9339.241255,9684.67142,11105.162059,11566.370587000001,12379.144884,11777.246921,11897.836975,11743.846828,12307.854980999999,12280.920142,12615.477065,13691.993064999999,14148.154273999999,15301.905653,15301.686476,14884.327519,15318.824754,15757.142961,16350.478173,18237.286893
PRACHIN BURI,32970.386416,34990.885342,47546.465359,44295.648921,41925.546669,45292.811043,43535.211894,67582.92138700001,85550.939936,96274.530228,108498.324857,120675.542013,150368.83517799998,167198.96008,167651.529113,184424.77419999999,145866.021378,208264.838671,180395.227366,184081.98438299997,177525.39819200002,205161.276954,251514.943873,270033.362458
SA KAEW,11178.349123,12767.614269,12538.773391,12584.786576999999,12858.889175,13549.010284,13619.441988999999,14120.387501,15763.411785999999,15488.288038,16348.720628,17748.337815,19445.434853,18927.961482,19379.020599,18761.634755,20415.022958,21956.370981,22402.873670999998,22948.184695,24141.627978,25257.145238,27033.594794,30638.696019
